144,10,,,,,,,,,
gccount,Distance.to.TSS,K562_dnase,K562_H3K9ac_merge,K562_H3K4me3_merge,K562_H3K4me1_usc,K562_H3K27ac_broad,K562_H3K36me3_merge,K562_H3K9me3_broad,K562_H3K27me3_usc,score
-0.187086643,2.230448921,1.200303183,1.34321159,0.765668555,1.378397901,1.454539985,-0.173925197,0.1430148,0.269512944,0.97749281
-0.15490196,1.653212514,1.850155922,1.51308436,0.527629901,-0.060480747,1.830139387,-0.075720714,0.424881637,0.336459734,0.94305802
-0.124938737,2.330413773,1.302330929,1.649626887,1.3586961,1.250663919,1.584783379,0.178976947,0.509202522,-0.207608311,0.86170325
-0.187086643,2.167317335,1.50758604,1.668944734,0.605305046,0.541579244,2.272375437,0.127104798,0.176091259,0.190331698,0.8493722
-0.301029996,1.939519253,1.582290683,1.550839605,0.64738297,1.328175661,1.637789829,-0.301029996,0.685741739,0.532754379,0.82483175
-0.15490196,2.243038049,1.414639147,1.823865309,1.310905629,0.240549248,2.157789086,0,0.553883027,0.336459734,0.82183055
-0.096910013,1.707570176,1.092018471,1.360971884,0.923244019,0.868644438,1.028571253,-0.48148606,0.209515015,0.190331698,0.80896793
-0.124938737,1.832508913,0.540329475,1.863084825,1.704236337,0.814247596,1.873611197,-0.075720714,0.318063335,-0.031517051,0.79099282
-0.346787486,2.501059262,1.726727209,1.713154402,0.517195898,1.206286044,2.350732452,0.264817823,0.539076099,0.394451681,0.77513086
-0.346787486,2.426511261,1.092018471,1.607990859,1.41564098,1.362293938,1.885869861,0.127104798,0.64246452,0.571708832,0.75177372
-0.124938737,2.344392274,1.495544338,1.498034724,1.121559844,0.416640507,1.524525937,-0.075720714,0.36361198,0.190331698,0.71813657
-0.15490196,2.674861141,1.317854489,2.042102768,1.505692507,1.336859821,2.421801289,-0.301029996,0.340444115,0.336459734,0.66449408
-0.187086643,2.283301229,1.031812271,1.797752129,1.490941205,0.416640507,1.781827153,0.264817823,0.267171728,-0.508638306,0.65450334
-0.124938737,2.130333768,2.143732823,1.991846054,1.38147609,1.444200989,1.889861721,0.222716471,0.778874472,0.722633923,0.64756527
-0.124938737,1.826074803,1.729893404,1.723947976,0.931457871,1.018284308,1.665299499,-0.48148606,0.442479769,-0.207608311,0.64366075
-0.096910013,2.155336037,1.084576278,2.152930136,1.94156112,1.129367596,2.031408464,0.127104798,0.580924976,0.491361694,0.60625935
-0.259637311,2.252853031,1.128722284,1.633064273,1.506775537,1.206286044,1.62324929,0.178976947,0.509202522,-0.207608311,0.56857075
-0.070581074,2.252853031,0.5774918,1.350441857,0.863917377,1.476831629,0.755874856,0,0.209515015,0.853698212,0.54830806
-0.096910013,2.278753601,1.056523724,1.394626764,1.041787319,1.085290578,1.056523724,-0.301029996,0.1430148,0.190331698,0.53035901
-0.124938737,1.812913357,1.494711025,1.772688355,1.02201574,1.345569756,1.691258358,-0.075720714,0.509202522,-0.207608311,0.50653537
-0.187086643,1.986771734,1.363799945,2.091702122,1.779740751,1.100370545,1.935204867,0.068185862,0.553883027,0.445604203,0.48998002
-0.124938737,1.462397998,1.918135226,1.485011215,0.878521796,0.63748973,1.153509989,-0.48148606,0.209515015,-0.031517051,0.46504434
-0.259637311,1.707570176,2.220813897,1.849665055,1.139879086,1.229169703,1.658583715,-0.075720714,0.705863712,0.696356389,0.45985143
-0.096910013,1.301029996,1.241297387,1.687528961,1.162564407,0.752048448,1.505692507,-0.301029996,0.06069784,0.093421685,0.4448545
-0.045757491,2.250420002,0.394451681,1.142702246,1.329601248,1.328175661,0.152288344,-0.769551079,0.238046103,0.269512944,0.42314751
-0.096910013,1.819543936,1.304921162,1.617838748,0.812244697,0.999565488,1.733277534,-0.173925197,0.06069784,0.491361694,0.41974872
-0.187086643,1.73239376,1.548020695,1.880356199,1.37401474,0.336459734,2.282168778,0.565847819,0.888740961,0.722633923,0.41538343
-0.045757491,1.86923172,1.542451947,1.517987203,1.038620162,1.62024019,1.153509989,-0.48148606,0.209515015,0.093421685,0.36790929
-0.22184875,2.155336037,1.385427515,1.737431201,1.624797579,0.679427897,1.733277534,0.127104798,0.494154594,0.093421685,0.3433074
-0.346787486,2.012837225,0.505149978,1.887729797,1.388811413,0.541579244,2.445713152,-0.301029996,0.292256071,0.336459734,0.34254746
-0.187086643,2.045322979,2.128689994,1.449478399,0.931457871,0.482873584,1.10754913,-0.301029996,0.568201724,0.394451681,0.34045077
-0.15490196,2.217483944,1.188647296,1.35755372,0.720985744,1.370328008,1.454539985,-0.173925197,0.1430148,0.269512944,0.31945267
-0.22184875,0.954242509,1.269746373,1.477121255,0.940018155,0.752048448,1.684935083,-0.173925197,0.209515015,-0.207608311,0.2954074
-0.187086643,2.499687083,0.350248018,1.747567163,1.670524158,1.053078443,1.505692507,-0.301029996,0.209515015,0.269512944,0.29217166
-0.259637311,2.089905111,0.713490543,1.909074401,1.583991799,0.416640507,2.27567983,-0.48148606,0.404833717,-0.031517051,0.25575573
-0.15490196,2.230448921,1.330210785,1.604009932,1.137354111,0.841984805,1.443419462,-0.301029996,0.06069784,0.190331698,0.22966602
-0.124938737,2.117271296,1.520876382,1.165244326,0.276461804,0.814247596,0.998695158,-2,0.494154594,0.336459734,0.1947075
-0.15490196,2.247973266,1.070037867,1.757547853,1.427810573,0.752048448,1.665299499,-0.301029996,0.209515015,0.093421685,0.1465911
-0.124938737,1.662757832,1.136403448,1.031004281,1.193402903,0.893206753,-0.148741651,-0.769551079,0.292256071,0.269512944,0.10916771
-0.301029996,1.612783857,1.859318465,1.668944734,1.317854489,0.679427897,1.314920056,-0.075720714,0.606381365,0.336459734,0.10259703
-0.15490196,2.460897843,1.281033367,1.838093138,1.294906911,0.592176757,2.230831953,-2,0.36361198,0.093421685,0.07069083
-0.187086643,2.396199347,1.548020695,2.018866863,1.129367596,1.386142109,2.422967181,-0.301029996,0.424881637,0.336459734,0.03537344
-0.22184875,1.230448921,1.549125927,1.522835314,1.264817823,0.959994838,1.615844883,-0.075720714,0.267171728,0.190331698,0.01343805
-0.15490196,1.69019608,1.57989787,1.909074401,1.401745082,0.63748973,1.945862324,0.127104798,0.292256071,-0.207608311,0.01291799
-0.22184875,1.322219295,1.439332694,1.988558957,1.384532615,0.482873584,2.393996133,0.399673721,0.847572659,0.770852012,0.00825659
-0.22184875,1.301029996,1.524396122,1.520483533,1.303843775,0.959994838,1.615844883,-0.075720714,0.267171728,0.190331698,0.0199912
-0.455931956,2.514547753,-0.180456064,1.130976692,0.677606953,1.069298012,1.267406419,0.303196057,0.340444115,0.190331698,0.01997715
-0.15490196,1.977723605,1.595165415,1.843917638,1.504606771,0.63748973,1.843668723,0.127104798,0.340444115,0.093421685,0.01997605
-0.15490196,2.320146286,1.306853749,1.335858911,0.859138297,1.035829825,1.576686805,0.068185862,0.460897843,0.093421685,0.01997248
-0.096910013,1.447158031,0.716003344,1.466274322,1.560026249,0.752048448,0.755874856,-0.48148606,0.340444115,-0.031517051,0.01996522
-0.15490196,2.579783597,0.103803721,1.636788689,1.642958879,1.217747073,1.153509989,-0.301029996,0.385606274,0.336459734,0.01992407
-0.124938737,1.880813592,1.51401618,1.452246575,1.327971624,0.679427897,0.852479994,-0.48148606,0.292256071,-0.031517051,0.01991626
-0.124938737,1.973127854,1.407050815,1.587710965,0.828659897,0.679427897,1.465234095,-0.301029996,0.06069784,-0.031517051,0.01985574
-0.15490196,2.187520721,1.581949658,1.758911892,1.142389466,0.999565488,1.760874638,0.178976947,0.553883027,-0.031517051,0.01970869
-0.187086643,2.505149978,0.927370363,2.245290529,2.133953845,1.100370545,2.234441351,0.478566496,0.725094521,0.445604203,0.01970461
-0.187086643,1.857332496,0.963315511,1.901022173,1.885417765,-0.060480747,2.067256889,0.655138435,0.907411361,0.696356389,0.01952278
-0.22184875,2.46834733,-0.055517328,0.267171728,-0.30980392,0.999565488,-0.148741651,-0.48148606,0.36361198,1.164055292,0.01799513
-0.22184875,2.190331698,-0.22184875,-0.431798276,-1.096910013,0.416640507,-2,-0.48148606,0.238046103,1.060320029,0.01177241
-0.259637311,1.431363764,-0.102372909,0.045322979,-1.096910013,0.336459734,-2,-0.301029996,0.176091259,0.906873535,0.01177241
-0.096910013,1.892094603,0.338456494,0.471291711,-0.387216143,1.169380495,-2,-0.173925197,0.103803721,1.277379975,0.01172609
-0.22184875,1.113943352,-0.200659451,0.267171728,-0.795880017,0.482873584,-0.148741651,-2,0.404833717,0.532754379,0.00997333
-0.22184875,1.230448921,-0.200659451,0.267171728,-0.795880017,0.482873584,-0.148741651,-2,0.404833717,0.532754379,0.00997333
-0.455931956,2.10720997,-0.48148606,0.267171728,-0.602059991,0.113943352,-2,0,0.267171728,0.606381365,0.00997333
-0.259637311,2.450249108,-0.346787486,-0.251811973,-0.795880017,0.240549248,0.152288344,-0.769551079,0.209515015,1.035829825,0.00993888
-0.045757491,2.041392685,1.477988976,1.437909036,0.940018155,1.530071569,1.10754913,-0.769551079,-0.161150909,0.190331698,0.00114044
