124,14,,,,,,,,,,,,,
Distance to TSS,K562_dnase,K562_H2AFZ_broad,K562_H3K4me3_merge,K562_H3K4me1_usc,K562_H3K4me2_broad,K562_H3K9ac_merge,K562_H3K20me1_broad,K562_H3K27ac_broad,K562_H3K36me3_merge,K562_H3K79me2_broad,K562_H3K9me1_broad,K562_H3K9me3_broad,K562_H3K27me3_usc,score
-264,43.93,0.31,1.89,2.61,27.68,19.44,0.97,56.24,1.34,10.94,6.21,3.81,1.55,1.88496435
-154,26.14,0.31,0.16,17.38,16.88,22.22,0,46.99,1,3.7,5.41,3.35,1.55,1.85601065
-105,112.49,24.19,40.67,106.02,188.33,163.88,4.36,184.38,2.68,38.98,18.83,12.93,10.86,1.74842147
-123,9.31,5.58,30.15,16.08,18.23,36.66,0,24.2,0.33,1.54,1.2,0.69,1.55,1.72279458
-151,43.87,0.31,1.81,2.61,27,18.89,0.97,54.11,1,10.63,6.21,3.81,1.86,1.72122104
-220,10.24,2.79,17.58,13.9,14.85,25.55,1.45,12.81,0.17,19.87,0.8,1.39,1.24,1.70093831
-306,4.35,19.23,6.57,37.37,56.7,46.29,3.88,150.92,1.84,7.55,14.02,2.77,2.48,1.58655196
-110,28.16,2.79,8.05,9.99,45.23,38.7,2.91,42.71,1,23.57,7.01,3.35,1.24,1.57245778
-87,14.74,2.48,6.74,15.21,20.25,17.41,0.48,4.98,0.5,0,2.6,1.62,5.9,1.55114961
-275,4.99,4.34,27.11,28.68,30.38,58.51,0,60.51,0.33,6.62,0.8,0.81,1.24,1.53808067
-171,129.95,2.48,6.41,3.91,39.15,23.52,0.48,13.53,1.34,4.93,2.4,4.16,2.48,1.53676918
-103,35.47,1.55,9.37,2.61,29.7,33.15,1.94,32.04,1,3.54,1.2,2.31,1.55,1.49470019
-172,23.21,4.96,6.65,9.99,42.53,23.7,2.42,34.88,1,17.1,6.21,2.77,1.24,1.4507239
-233,2.36,22.02,10.68,31.28,55.35,25.74,2.91,21.36,1.51,10.48,4.41,1.96,2.17,1.42547816
-68,4.47,4.65,28.59,29.98,25.65,57.59,0,55.53,0.33,5.39,0.8,0.35,1.24,1.39954683
-134,0.69,0,0,5.21,0.68,0.74,0.48,0,0.17,0,1,1.15,9.31,1.37119304
-186,1,12.72,8.3,4.34,29.03,6.85,5.33,2.85,1,0.31,9.21,3.7,13.66,1.36847048
-309,23.6,88.39,137.69,169.02,388.81,223.5,15.02,396.53,7.86,46.37,20.43,15.01,10.55,1.32471868
302,1.12,0,0.99,1.74,0,0.74,0.48,0,0,0.31,0.6,1.04,1.86,1.31471071
448,1,0.62,2.63,1.74,0,0.74,0,0,0.17,0.46,0.2,0.81,1.86,1.2879411
-281,31.33,6.51,9.78,23.03,15.53,12.96,0,2.85,0.17,0.92,1.2,1.04,0.93,1.25540807
-351,5.77,10.55,16.51,9.99,47.93,14.81,2.91,12.81,1.51,3.08,1.4,3.12,2.48,1.24187178
-330,9.85,3.41,17.83,13.03,24.3,41.29,0,46.99,0,8.16,2,1.62,2.17,1.21236986
-146,46.86,7.44,13.8,1.74,70.2,60.37,0.97,129.57,0.67,12.02,6.41,3.35,2.17,1.10540854
-351,5.77,10.55,16.35,9.99,47.93,14.81,2.91,12.81,1.51,3.08,1.4,3.12,2.48,1.07685091
-124,82.76,0.31,4.44,14.34,22.28,26.11,0,19.93,0,11.09,2.6,1.85,2.48,1.02512829
56,14.71,18.92,44.03,9.99,81.68,34.81,2.91,37.73,1.34,23.88,4.21,1.62,1.55,1.00439451
-227,80.4,5.27,8.54,43.88,31.73,40.55,0.97,42,0,11.09,5.21,5.43,3.1,0.9991326
-170,15.86,9.3,5.83,23.9,29.7,22.04,2.42,28.48,0.67,4.78,2.8,1.39,1.86,0.97749281
-45,70.82,1.55,3.37,0.87,39.15,32.59,0,67.63,0.84,16.18,5.41,2.66,2.17,0.94305802
-214,20.06,17.06,22.84,17.81,85.05,44.63,1.94,38.44,1.51,11.09,3.81,3.23,0.62,0.86170325
-147,32.18,2.17,4.03,3.48,64.8,46.66,1.94,187.23,1.34,7.55,6.81,1.5,1.55,0.8493722
